ID,Entradas,Entradas_ganadas,Entradas_defensa,Entradas_medio_campo,Entradas_ataque,Regates_parados,Regates_recibidos,Porcent_regates_parados,Regates_perdidos,Bloqueos,Disparos_bloqueados,Pases_bloqueados,Intercepciones,Intercepciones_intentadas,Despejes,Errores,Duelos_aereos_ganados,Duelos_aereos_perdidos,Porcent_duelos_aereos
1,1,1,0,0,1,0,2,"0,00%",2,0,0,0,2,3,1,0,0,3,"0,00%"
2,4,3,3,1,0,2,4,"50,00%",2,1,0,1,0,4,1,0,3,0,"100,00%"
3,9,6,6,1,2,3,8,"37,50%",5,7,2,5,3,12,0,0,0,3,"0,00%"
4,10,8,8,2,0,4,7,"57,14%",3,8,2,6,11,21,46,0,25,21,"54,35%"
5,9,5,7,2,0,8,9,"88,89%",1,0,0,0,2,11,3,0,3,1,"75,00%"
6,9,8,4,2,3,1,3,"33,33%",2,5,1,4,1,10,0,0,4,10,"28,57%"
7,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,4,1,0,1,"0,00%"
8,16,11,10,6,0,7,13,"53,85%",6,5,3,2,3,19,3,0,8,4,"66,67%"
9,1,1,0,0,1,1,3,"33,33%",2,3,0,3,2,3,1,0,1,6,"14,29%"
10,3,1,1,2,0,0,1,"0,00%",1,6,0,6,0,3,0,0,3,1,"75,00%"
11,27,16,10,15,2,14,26,"53,85%",12,14,2,12,9,36,20,1,10,13,"43,48%"
12,12,6,3,6,3,3,5,"60,00%",2,2,1,1,7,19,13,0,14,1,"93,33%"
13,8,3,2,5,1,5,12,"41,67%",7,12,8,4,7,15,12,0,2,8,"20,00%"
14,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,2,1,"66,67%"
15,0,0,0,0,0,0,1,"0,00%",1,3,2,1,0,0,1,0,0,0,"0,00%"
16,15,8,5,6,4,5,9,"55,56%",4,4,0,4,7,22,0,0,3,2,"60,00%"
17,19,13,10,8,1,16,30,"53,33%",14,7,2,5,4,23,3,0,2,0,"100,00%"
18,1,1,0,1,0,0,0,"0,00%",0,2,2,0,0,1,2,0,1,2,"33,33%"
19,4,4,2,2,0,2,3,"66,67%",1,5,0,5,1,5,0,0,1,0,"100,00%"
20,0,0,0,0,0,0,2,"0,00%",2,0,0,0,0,0,1,1,0,0,"0,00%"
21,5,2,3,1,1,3,6,"50,00%",3,7,4,3,6,11,18,0,8,5,"61,54%"
22,0,0,0,0,0,0,0,"0,00%",0,1,1,0,2,2,1,0,0,0,"0,00%"
23,15,8,6,8,1,8,12,"66,67%",4,5,1,4,11,26,18,0,17,19,"47,22%"
24,5,3,0,2,3,0,5,"0,00%",5,1,0,1,2,7,1,0,4,2,"66,67%"
25,3,2,1,0,2,2,4,"50,00%",2,0,0,0,2,5,1,0,0,1,"0,00%"
26,10,7,3,6,1,5,6,"83,33%",1,13,7,6,5,15,10,0,5,3,"62,50%"
27,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
28,2,2,1,0,1,1,1,"100,00%",0,1,0,1,1,3,0,0,0,1,"0,00%"
29,4,2,1,1,2,1,2,"50,00%",1,3,2,1,2,6,3,0,4,4,"50,00%"
30,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,1,0,"100,00%"
31,1,0,1,0,0,0,0,"0,00%",0,2,1,1,0,1,0,0,2,4,"33,33%"
32,4,1,0,4,0,1,6,"16,67%",5,4,1,3,1,5,1,0,1,4,"20,00%"
33,5,3,2,2,1,1,2,"50,00%",1,1,0,1,0,5,1,0,0,9,"0,00%"
34,0,0,0,0,0,0,1,"0,00%",1,0,0,0,1,1,2,0,2,1,"66,67%"
35,2,2,1,1,0,0,0,"0,00%",0,2,0,2,0,2,2,0,1,1,"50,00%"
36,1,0,0,1,0,1,2,"50,00%",1,4,0,4,5,6,3,0,1,1,"50,00%"
37,4,1,2,1,1,2,2,"100,00%",0,0,0,0,2,6,5,0,0,1,"0,00%"
38,7,3,2,3,2,2,9,"22,22%",7,2,0,2,3,10,1,0,0,3,"0,00%"
39,0,0,0,0,0,0,1,"0,00%",1,4,0,4,0,0,3,0,3,3,"50,00%"
40,1,0,0,0,1,0,0,"0,00%",0,0,0,0,0,1,0,0,1,0,"100,00%"
41,13,9,4,7,2,5,9,"55,56%",4,10,4,6,5,18,9,1,7,6,"53,85%"
42,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,1,"0,00%"
43,7,5,5,1,1,5,5,"100,00%",0,5,0,5,3,10,6,1,2,1,"66,67%"
44,2,0,1,1,0,0,1,"0,00%",1,0,0,0,0,2,1,0,1,1,"50,00%"
45,14,9,8,5,1,6,12,"50,00%",6,13,3,10,17,31,11,0,6,6,"50,00%"
46,6,5,2,4,0,4,5,"80,00%",1,4,4,0,15,21,8,0,5,4,"55,56%"
47,6,4,1,3,2,5,6,"83,33%",1,0,0,0,1,7,0,0,0,2,"0,00%"
48,9,5,2,3,4,7,8,"87,50%",1,6,0,6,4,13,5,0,5,1,"83,33%"
49,0,0,0,0,0,0,1,"0,00%",1,2,0,2,0,0,1,0,0,3,"0,00%"
50,11,6,3,7,1,3,11,"27,27%",8,5,4,1,13,24,12,1,16,7,"69,57%"
51,2,2,1,1,0,1,2,"50,00%",1,4,2,2,5,7,1,0,0,2,"0,00%"
52,2,1,0,2,0,1,1,"100,00%",0,0,0,0,0,2,0,0,0,0,"0,00%"
53,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,1,0,0,1,"0,00%"
54,23,14,10,11,2,9,24,"37,50%",15,14,1,13,2,25,11,0,3,11,"21,43%"
55,9,3,4,4,1,4,8,"50,00%",4,11,7,4,3,12,5,0,2,4,"33,33%"
56,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,0,"0,00%"
57,0,0,0,0,0,0,0,"0,00%",0,0,0,0,0,0,0,0,0,1,"0,00%"
58,14,9,8,4,2,7,11,"63,64%",4,9,4,5,7,21,23,0,6,8,"42,86%"
