ID,Jugador,Pais,Equipo,Posicion,Edad,Nacimiento,Partidos_jugados,Partidos_titular,Minutos_totales,90s,Tarjetas_amarillas,Tarjetas_rojas,Segundas_tarjetas_amarillas,Faltas_comprometidas,Faltas_pitadas,Fuera_de_juego
1,Liel Abada,SCT,Celtic ,"FW,MF",20,2001,5,4,217,"2,41",0,0,0,0,3,1
2,Oliver Abildgaard,SCT,Celtic ,MF,26,1996,2,0,63,"0,70",0,0,0,0,0,0
3,Mohammad Abu Fani,IL,Maccabi Haifa,MF,24,1998,6,4,400,"4,44",1,0,0,13,12,0
4,Francesco Acerbi,IT,Inter ,DF,34,1988,12,10,921,"10,23",1,0,0,6,9,1
5,Marcos Acuña,ES,Sevilla ,"DF,MF",30,1991,4,3,219,"2,43",0,0,0,8,0,0
6,Junior Adamu,AT,RB Salzburg,FW,21,2001,6,2,204,"2,27",1,0,0,6,1,4
7,Antonio Adán,PT,Sporting CP,GK,35,1987,5,5,382,"4,24",0,1,0,1,0,0
8,Arijan Ademi,HR,Dinamo Zagreb,MF,31,1991,6,6,471,"5,23",2,0,0,3,3,0
9,Karim Adeyemi,DE,Dortmund ,"FW,MF",20,2002,6,5,376,"4,18",1,0,0,7,6,0
10,Amine Adli,DE,Leverkusen ,"FW,MF",22,2000,4,1,121,"1,34",0,0,0,4,1,3
11,Manuel Akanji,ENG,Manchester City,DF,27,1995,11,10,945,"10,50",2,0,0,9,5,0
12,Nathan Aké,ENG,Manchester City,DF,27,1995,8,7,608,"6,76",1,0,0,5,1,0
13,David Alaba,ES,Real Madrid,DF,30,1992,11,9,711,"7,90",0,0,0,3,0,0
14,Lucas Alario,DE,Eint Frankfurt,"FW,MF",29,1992,2,0,20,"0,22",0,0,0,0,0,1
15,Jordi Alba,ES,Barcelona ,DF,33,1989,2,2,146,"1,62",0,0,0,0,0,0
16,Thiago Alcántara,ENG,Liverpool ,MF,31,1991,5,3,306,"3,40",0,0,0,4,6,0
17,Trent Alexander-Arnold,ENG,Liverpool ,DF,23,1998,7,7,625,"6,94",2,0,0,2,2,0
18,Sotiris Alexandropoulos,PT,Sporting CP,MF,20,2001,3,0,121,"1,34",0,0,0,0,3,0
19,Faride Alidou,DE,Eint Frankfurt,"DF,FW",21,2001,5,0,73,"0,81",0,0,0,1,1,0
20,Alisson,ENG,Liverpool ,GK,29,1992,8,8,720,"8,00",0,0,0,0,0,0
