ID,Pases_completados,Pases_intentados,Porcent_pases_completados,Distancia_total_pases,Distancia_progresiva_pase,Pases_cortos_completados,Pases_cortos_intentados,Porcent_pases_cortos,Pases_vivos,Pases_muertos,Pases_faltas,Pases_largos,Cambios_de_juego,Pases_cruzados,Lanzamientos_realizados,Saques_esquina,Saques_esquina_dentro,Saques_esquina_fuera,Saques_esquina_recto,Pases_fuera_juego,Pases_bloqueados
1,39,59,"66,10%",465,136,31,34,"91,18%",58,1,0,0,0,10,1,0,0,0,0,0,4
2,24,33,"72,73%",406,121,10,12,"83,33%",33,0,0,0,0,0,0,0,0,0,0,0,1
3,198,230,"86,09%",3416,732,97,111,"87,39%",218,10,2,0,5,2,2,5,0,0,0,2,4
4,492,562,"87,54%",9507,3420,154,172,"89,53%",539,23,17,0,2,1,4,0,0,0,0,0,3
5,67,97,"69,07%",1218,533,28,33,"84,85%",78,19,0,0,0,9,18,1,0,1,0,0,3
6,25,48,"52,08%",325,110,13,25,"52,00%",47,1,0,0,0,5,0,0,0,0,0,0,5
7,153,219,"69,86%",3467,1688,38,38,"100,00%",164,55,20,0,1,0,0,0,0,0,0,0,0
8,122,147,"82,99%",1695,364,70,80,"87,50%",141,6,2,0,1,0,0,0,0,0,0,0,5
9,77,101,"76,24%",992,241,52,57,"91,23%",100,1,0,0,0,6,1,0,0,0,0,0,5
10,44,64,"68,75%",644,170,22,34,"64,71%",62,2,0,1,0,4,1,1,0,0,0,0,2
11,763,831,"91,82%",13809,4176,318,332,"95,78%",789,42,14,1,7,1,28,0,0,0,0,0,6
12,547,598,"91,47%",9282,3327,270,278,"97,12%",562,35,11,1,5,5,24,0,0,0,0,1,5
13,414,476,"86,97%",6088,2043,219,234,"93,59%",447,29,7,0,0,19,18,2,0,2,0,0,4
14,1,3,"33,33%",4,0,0,2,"0,00%",3,0,0,0,0,0,0,0,0,0,0,0,0
15,162,183,"88,52%",2363,848,96,102,"94,12%",166,17,3,1,0,9,14,0,0,0,0,0,0
16,205,232,"88,36%",3891,1265,80,89,"89,89%",224,8,6,1,9,2,2,0,0,0,0,0,3
17,405,528,"76,70%",7471,3245,189,206,"91,75%",421,106,20,2,9,57,62,24,4,19,0,1,7
18,33,42,"78,57%",491,83,18,21,"85,71%",40,2,1,0,1,0,0,0,0,0,0,0,2
19,32,38,"84,21%",496,73,17,19,"89,47%",32,6,1,0,0,2,5,0,0,0,0,0,0
20,242,274,"88,32%",5893,3991,64,64,"100,00%",225,47,10,0,1,0,0,0,0,0,0,2,0
21,376,418,"89,95%",6519,2357,167,179,"93,30%",387,30,8,0,3,12,18,4,0,4,0,1,4
22,13,17,"76,47%",197,53,6,8,"75,00%",16,1,1,0,0,0,0,0,0,0,0,0,0
23,312,364,"85,71%",5525,1458,123,140,"87,86%",359,5,5,0,1,0,0,0,0,0,0,0,4
24,97,120,"80,83%",1408,245,67,75,"89,33%",112,8,0,2,1,8,0,4,0,4,0,0,3
25,51,64,"79,69%",667,232,36,38,"94,74%",62,0,0,0,1,1,0,0,0,0,0,2,3
26,176,207,"85,02%",2870,716,93,105,"88,57%",200,6,5,1,2,0,1,0,0,0,0,1,2
