ID,Toques,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Regates intentados,Regates completados,Porcent_regates,Defensa al regate,Porcent_defensa al regate,Conducciones,Distancia total conducciones,Distancia traslado progresivo,Distancia traslado progresivo,Conducciones ultimo 1/3,Conducciones al area,Error control,Perdida balon,Pases recibidos,Pases progresivos recibidos
1,81,1,6,20,56,9,81,4,1,"25,00%",1,"25,00%",68,375,181,6,6,2,5,9,66,23
2,44,1,13,24,7,0,44,0,0,"0,00%",0,"0,00%",16,60,25,0,0,0,1,2,21,0
3,280,1,52,153,83,7,280,13,7,"53,85%",4,"30,77%",209,1128,469,6,7,0,6,6,210,20
4,662,90,333,307,24,6,662,2,1,"50,00%",1,"50,00%",385,1786,894,8,6,1,3,0,439,1
5,126,12,56,41,30,0,126,4,1,"25,00%",3,"75,00%",64,270,128,4,1,0,4,5,62,8
6,87,4,16,34,38,11,87,4,1,"25,00%",3,"75,00%",52,225,54,1,0,1,8,6,56,11
7,235,216,235,0,0,0,235,0,0,"0,00%",0,"0,00%",131,597,344,0,0,0,0,0,119,0
8,199,6,59,99,42,7,199,6,1,"16,67%",5,"83,33%",109,455,180,3,1,0,7,2,115,6
9,167,4,39,43,87,22,167,26,10,"38,46%",14,"53,85%",113,891,518,23,10,13,10,6,109,31
10,85,0,9,28,49,8,85,4,1,"25,00%",3,"75,00%",46,264,159,7,3,2,2,2,62,15
11,915,38,309,520,90,13,915,2,1,"50,00%",1,"50,00%",587,2697,1541,10,13,1,5,1,701,8
12,641,26,176,393,78,3,641,3,2,"66,67%",1,"33,33%",414,1821,1180,9,10,0,1,1,506,9
13,537,58,222,231,90,8,537,3,3,"100,00%",0,"0,00%",339,1463,741,8,8,3,6,2,394,26
14,5,0,0,3,2,0,5,0,0,"0,00%",0,"0,00%",3,6,0,0,0,0,2,2,6,1
15,192,5,28,103,62,8,192,1,0,"0,00%",1,"100,00%",153,508,261,4,5,1,0,2,149,23
16,269,5,47,153,73,2,269,4,2,"50,00%",1,"25,00%",137,717,329,3,10,2,5,7,183,3
17,588,10,148,273,172,15,588,9,5,"55,56%",4,"44,44%",307,1224,584,11,7,0,11,2,355,33
18,58,5,16,32,10,0,58,1,0,"0,00%",1,"100,00%",38,182,40,0,0,0,4,2,39,0
19,54,0,3,25,27,3,54,6,2,"33,33%",3,"50,00%",31,212,81,4,1,0,2,2,30,6
20,284,219,282,2,0,0,284,1,1,"100,00%",0,"0,00%",170,822,497,0,0,0,0,0,178,0
21,468,37,148,247,75,7,468,4,2,"50,00%",2,"50,00%",310,1743,968,8,9,0,3,2,325,12
22,32,4,16,10,6,1,32,2,1,"50,00%",1,"50,00%",15,72,22,0,0,0,0,2,11,0
23,450,35,149,253,50,17,450,3,1,"33,33%",2,"66,67%",266,1125,518,4,5,1,6,3,307,4
24,166,1,11,49,106,25,166,10,3,"30,00%",7,"70,00%",112,430,170,7,5,5,7,6,134,36
25,90,2,27,44,20,2,90,3,1,"33,33%",2,"66,67%",44,215,103,2,5,1,5,1,63,7
26,257,17,83,150,24,3,257,0,0,"0,00%",0,"0,00%",95,485,227,3,1,0,0,0,153,1
27,6,1,4,1,1,0,6,0,0,"0,00%",0,"0,00%",3,13,3,0,0,0,0,0,4,1
28,17,3,9,4,4,0,17,0,0,"0,00%",0,"0,00%",10,33,13,0,1,1,0,0,9,0
29,169,6,42,100,29,1,169,0,0,"0,00%",0,"0,00%",72,301,137,0,3,0,0,0,125,0
30,9,0,0,2,7,3,9,0,0,"0,00%",0,"0,00%",6,27,19,0,1,0,0,0,8,5
31,63,8,28,32,3,1,63,0,0,"0,00%",0,"0,00%",41,320,259,0,0,0,1,0,47,0
32,112,3,20,50,42,7,112,1,0,"0,00%",1,"100,00%",58,210,92,1,0,0,6,1,65,9
33,127,4,24,54,50,5,127,6,4,"66,67%",2,"33,33%",67,340,194,5,3,1,7,2,91,14
34,288,233,283,5,0,0,288,0,0,"0,00%",0,"0,00%",202,914,542,0,0,0,0,0,152,0
35,57,3,10,32,16,4,57,4,2,"50,00%",1,"25,00%",33,242,138,5,0,2,1,6,41,9
36,237,2,19,98,122,16,237,3,1,"33,33%",1,"33,33%",138,818,373,12,7,3,5,3,185,15
37,88,11,26,43,19,1,88,1,1,"100,00%",0,"0,00%",44,241,73,0,1,0,1,1,51,2
38,163,2,13,63,88,11,163,10,3,"30,00%",5,"50,00%",119,609,276,6,10,3,9,5,118,28
39,140,1,8,59,73,28,140,0,0,"0,00%",0,"0,00%",96,437,188,8,7,4,12,5,103,31
40,7,0,0,3,4,0,7,0,0,"0,00%",0,"0,00%",4,21,14,0,1,0,0,0,5,1
41,433,14,68,228,139,29,433,9,4,"44,44%",4,"44,44%",277,1336,577,12,10,3,8,2,307,45
42,3,0,0,1,2,0,3,1,1,"100,00%",0,"0,00%",2,28,16,1,1,0,0,0,3,1
43,312,12,83,175,57,2,312,4,1,"25,00%",1,"25,00%",207,870,477,4,6,1,2,0,222,15
44,32,1,5,19,8,2,32,0,0,"0,00%",0,"0,00%",16,42,25,0,0,0,1,0,23,3
45,607,24,151,296,165,9,607,17,8,"47,06%",8,"47,06%",355,1808,1078,16,23,0,7,0,390,34
46,238,20,101,134,3,0,238,2,1,"50,00%",0,"0,00%",180,962,414,0,1,0,2,1,156,0
47,95,1,16,57,24,0,95,2,1,"50,00%",1,"50,00%",52,275,66,0,1,0,3,2,68,1
48,252,11,74,104,74,9,252,10,5,"50,00%",3,"30,00%",133,604,303,9,7,3,8,3,172,32
49,162,3,38,64,62,6,162,8,5,"62,50%",2,"25,00%",115,708,414,15,8,2,5,5,121,17
50,420,24,133,254,37,6,420,1,0,"0,00%",0,"0,00%",314,1596,869,6,14,0,6,1,277,3
51,89,3,19,54,16,2,89,2,1,"50,00%",1,"50,00%",58,239,91,3,1,0,1,1,51,7
52,8,0,1,5,2,1,8,0,0,"0,00%",0,"0,00%",5,52,50,4,1,1,0,0,4,2
53,35,1,4,15,17,3,35,5,2,"40,00%",2,"40,00%",21,115,49,1,0,1,3,1,23,7
54,537,17,111,233,204,20,537,18,8,"44,44%",8,"44,44%",340,2153,1259,36,31,3,27,12,357,37
55,302,20,114,132,61,0,302,2,0,"0,00%",2,"100,00%",158,595,240,5,4,0,1,2,188,13
56,5,0,1,2,2,0,5,0,0,"0,00%",0,"0,00%",4,29,8,0,0,0,0,0,4,0
57,8,0,0,4,4,0,8,2,1,"50,00%",1,"50,00%",8,30,16,1,0,0,0,2,10,0
58,506,69,258,220,31,2,506,13,5,"38,46%",3,"23,08%",321,1267,625,3,1,0,5,1,356,8
59,37,0,0,17,21,5,37,1,0,"0,00%",0,"0,00%",30,209,59,2,1,0,3,4,30,5
60,710,114,354,281,76,6,710,5,2,"40,00%",1,"20,00%",423,2033,1293,18,22,0,5,3,479,21
61,240,39,136,101,3,3,240,0,0,"0,00%",0,"0,00%",157,899,466,1,2,0,1,0,145,0
62,47,0,8,25,14,2,47,5,0,"0,00%",2,"40,00%",35,268,132,3,0,0,4,1,34,5
63,69,3,29,16,24,2,69,3,1,"33,33%",0,"0,00%",37,292,131,4,3,0,4,1,45,5
64,116,8,21,67,30,3,116,1,0,"0,00%",1,"100,00%",64,308,161,3,5,0,7,1,75,7
65,462,23,91,247,125,28,462,31,11,"35,48%",16,"51,61%",305,1727,801,16,6,5,18,12,334,22
66,436,12,84,274,84,2,436,25,13,"52,00%",8,"32,00%",243,1373,589,9,5,0,19,15,261,9
67,417,13,83,271,68,5,417,8,6,"75,00%",1,"12,50%",258,1257,580,11,8,0,6,3,302,7
68,398,8,30,145,226,47,398,17,7,"41,18%",9,"52,94%",238,1041,355,12,7,10,11,8,325,44
69,320,4,26,166,129,7,320,5,1,"20,00%",3,"60,00%",210,888,377,6,14,0,9,2,230,15
70,246,0,15,103,131,19,245,14,5,"35,71%",7,"50,00%",193,1072,600,12,10,4,6,9,203,49
71,9,0,2,5,2,0,9,2,1,"50,00%",1,"50,00%",5,42,11,0,0,0,0,0,4,1
72,110,20,62,45,4,4,110,0,0,"0,00%",0,"0,00%",43,167,58,0,0,0,0,0,37,0
73,223,6,70,104,50,2,223,2,0,"0,00%",1,"50,00%",179,848,287,0,9,0,1,2,169,18
74,308,21,129,120,62,3,308,8,1,"12,50%",5,"62,50%",139,865,396,6,3,0,0,2,181,19
75,87,8,34,45,11,0,87,4,3,"75,00%",1,"25,00%",29,109,36,0,0,0,2,2,38,0
76,86,4,25,53,8,0,86,1,0,"0,00%",1,"100,00%",61,324,101,1,1,0,3,0,58,0
77,280,207,278,2,0,0,280,0,0,"0,00%",0,"0,00%",199,670,252,0,0,0,0,0,191,0
78,383,18,107,202,75,4,383,5,1,"20,00%",3,"60,00%",224,655,343,2,2,1,3,4,260,13
79,28,0,1,13,14,3,28,0,0,"0,00%",0,"0,00%",22,138,86,3,3,1,2,2,23,6
80,91,11,45,44,2,0,91,0,0,"0,00%",0,"0,00%",57,379,213,0,0,0,0,0,74,0
81,406,104,291,114,1,1,406,1,1,"100,00%",0,"0,00%",269,1061,480,2,0,0,1,1,303,0
82,319,19,146,149,26,5,319,6,1,"16,67%",3,"50,00%",208,1099,561,7,5,0,4,5,238,5
83,338,62,162,170,6,1,338,3,2,"66,67%",1,"33,33%",218,863,418,0,0,0,1,0,232,0
84,26,0,5,8,15,2,26,5,2,"40,00%",3,"60,00%",19,267,147,8,4,1,2,0,18,7
85,95,1,8,49,38,9,95,6,1,"16,67%",5,"83,33%",60,333,101,3,3,1,5,4,71,10
86,224,180,222,2,0,0,224,0,0,"0,00%",0,"0,00%",131,621,264,0,0,0,1,0,123,0
87,97,18,65,30,3,1,97,0,0,"0,00%",0,"0,00%",67,254,96,0,1,0,0,0,59,0
88,293,6,35,131,133,14,293,17,10,"58,82%",7,"41,18%",171,1076,559,19,13,4,5,7,209,28
89,181,33,101,74,8,3,181,1,1,"100,00%",0,"0,00%",118,449,231,0,2,0,3,1,119,2
90,31,0,0,19,12,4,31,0,0,"0,00%",0,"0,00%",17,60,6,0,2,0,4,0,20,4
91,48,1,1,17,30,5,48,3,1,"33,33%",2,"66,67%",38,265,67,2,4,2,6,11,38,11
92,479,25,154,246,84,3,479,9,5,"55,56%",4,"44,44%",301,1478,539,9,12,1,5,9,333,11
93,166,4,47,80,41,3,166,5,4,"80,00%",1,"20,00%",94,454,218,3,2,0,7,10,108,7
94,222,9,46,87,91,14,222,33,9,"27,27%",17,"51,52%",157,1270,598,22,7,7,12,10,138,35
95,27,4,6,19,2,0,27,0,0,"0,00%",0,"0,00%",18,56,23,0,0,0,0,0,19,0
96,188,3,21,110,58,5,188,4,1,"25,00%",0,"0,00%",86,271,146,2,2,0,3,1,113,5
97,80,4,31,29,20,0,80,1,0,"0,00%",0,"0,00%",29,176,97,5,3,0,1,2,28,5
98,23,1,4,9,10,0,23,5,0,"0,00%",4,"80,00%",16,64,21,0,2,0,3,0,14,3
99,11,0,1,3,7,1,11,0,0,"0,00%",0,"0,00%",8,29,18,0,0,0,0,1,7,3
100,387,22,134,187,68,2,387,4,2,"50,00%",2,"50,00%",179,919,504,8,7,0,1,0,217,17
101,530,16,135,255,144,5,530,9,4,"44,44%",2,"22,22%",295,1328,631,10,6,1,10,11,330,27
102,564,21,161,302,104,8,564,15,7,"46,67%",2,"13,33%",331,2020,1041,18,16,3,17,9,409,15
103,374,20,131,216,32,2,374,8,5,"62,50%",2,"25,00%",218,1163,568,6,7,1,14,5,234,2
104,121,2,27,56,40,0,121,6,4,"66,67%",2,"33,33%",89,517,205,4,1,0,1,0,78,10
105,464,7,72,212,183,7,464,8,3,"37,50%",3,"37,50%",286,1221,630,15,13,2,7,2,353,41
106,128,6,26,56,48,9,128,4,0,"0,00%",3,"75,00%",64,368,200,4,6,0,7,4,59,8
107,4,0,0,4,0,0,4,0,0,"0,00%",0,"0,00%",3,9,0,0,0,0,2,0,4,0
108,246,28,143,95,9,6,246,1,1,"100,00%",0,"0,00%",172,685,364,1,0,0,1,0,177,1
109,248,48,154,84,10,5,248,0,0,"0,00%",0,"0,00%",158,712,309,0,0,0,0,0,161,2
110,338,43,166,119,54,7,338,7,5,"71,43%",2,"28,57%",194,767,392,5,2,1,3,0,244,20
111,236,0,29,75,136,14,235,20,8,"40,00%",10,"50,00%",141,1041,492,21,10,7,13,6,149,46
112,331,29,114,209,9,2,331,0,0,"0,00%",0,"0,00%",271,1425,901,6,3,0,2,0,267,0
113,721,37,221,299,204,9,721,10,0,"0,00%",8,"80,00%",390,1556,724,12,11,0,6,2,481,35
114,78,1,7,34,38,5,78,4,2,"50,00%",2,"50,00%",49,250,126,5,3,2,5,2,55,4
115,33,2,6,28,0,0,33,0,0,"0,00%",0,"0,00%",19,55,12,0,0,0,0,1,25,0
116,100,2,25,59,16,3,100,7,5,"71,43%",2,"28,57%",61,333,123,2,2,0,1,1,77,3
117,38,0,9,22,8,1,38,0,0,"0,00%",0,"0,00%",20,89,44,0,1,0,0,1,24,0
118,32,4,14,18,0,0,32,0,0,"0,00%",0,"0,00%",25,113,30,0,0,0,1,0,25,0
119,346,36,143,183,22,6,346,2,1,"50,00%",0,"0,00%",247,988,640,6,8,0,4,0,248,1
120,7,0,4,2,1,0,7,0,0,"0,00%",0,"0,00%",3,9,5,0,0,0,0,0,3,0
121,313,3,36,152,131,15,312,11,4,"36,36%",5,"45,45%",218,1024,530,17,14,2,15,7,224,44
122,12,0,0,1,11,2,12,0,0,"0,00%",0,"0,00%",9,50,29,1,0,0,0,0,8,5
123,436,14,87,187,173,14,436,12,6,"50,00%",3,"25,00%",294,1305,758,15,15,1,15,3,302,39
124,333,11,63,192,80,8,333,12,7,"58,33%",3,"25,00%",230,1221,614,9,9,0,3,4,245,12
125,116,6,11,52,53,15,115,4,0,"0,00%",4,"100,00%",58,129,23,0,0,0,11,3,82,6
126,246,13,71,166,11,2,246,1,1,"100,00%",0,"0,00%",184,996,580,4,5,0,1,0,195,1
127,231,13,58,104,72,12,231,8,4,"50,00%",4,"50,00%",89,524,257,7,4,2,9,3,145,15
128,260,5,41,102,120,8,260,13,7,"53,85%",6,"46,15%",174,978,470,11,7,2,7,3,159,26
129,89,3,23,50,20,1,89,0,0,"0,00%",0,"0,00%",44,143,62,0,5,0,1,1,59,1
130,246,27,128,117,3,3,246,1,1,"100,00%",0,"0,00%",149,437,178,0,0,0,2,2,166,0
