ID,Goles,Goles_de_no_penalti,Penaltis_convertidos,Penaltis_intentados,Tiros_de_falta,Goles,Tiros,Tiros_a_puerta,Porcent_tiros,Tiros/90,Tiros_a_puerta/90,Goles/tiros,Goles/tiros_a_puerta,Media_distancia_de_tiro
1,0,0,0,0,0,0,5,1,"20,00%",02.07,0.41,0.00,0.00,18.9
2,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
3,0,0,0,0,1,0,11,2,"18,18%",2.48,0.45,0.00,0.00,25.1
4,0,0,0,0,0,0,8,2,"25,00%",0.78,0.20,0.00,0.00,21.5
5,0,0,0,0,0,0,2,0,"0,00%",0.82,0.00,0.00,0,27.4
6,1,1,0,0,0,1,5,3,"60,00%",2.21,1.32,0.20,0.33,8.4
7,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
8,0,0,0,0,0,0,6,2,"33,33%",1.15,0.38,0.00,0.00,16.0
9,2,2,0,0,0,2,11,3,"27,27%",2.63,0.72,0.18,0.67,16.9
10,0,0,0,0,0,0,3,1,"33,33%",2.23,0.74,0.00,0.00,15.6
11,1,1,0,0,0,1,7,4,"57,14%",0.67,0.38,0.14,0.25,16.4
12,0,0,0,0,0,0,4,1,"25,00%",0.59,0.15,0.00,0.00,15.0
13,0,0,0,0,3,0,5,3,"60,00%",0.63,0.38,0.00,0.00,23.9
14,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
15,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
16,0,0,0,0,0,0,3,2,"66,67%",0.88,0.59,0.00,0.00,24.8
17,1,1,0,0,3,1,9,4,"44,44%",1.30,0.58,0.11,0.25,23.9
18,0,0,0,0,0,0,3,1,"33,33%",2.23,0.74,0.00,0.00,31.1
19,1,1,0,0,0,1,2,2,"100,00%",2.47,2.47,0.50,0.50,16.1
20,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
21,1,1,0,0,0,1,3,1,"33,33%",0.67,0.22,0.33,1.00,13.3
22,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
23,1,1,0,0,0,1,10,2,"20,00%",1.69,0.34,0.10,0.50,13.1
24,3,3,0,0,0,3,14,6,"42,86%",2.66,1.14,0.21,0.50,13.7
25,0,0,0,0,0,0,3,0,"0,00%",2.20,0.00,0.00,0,25.6
26,1,1,0,0,0,1,5,1,"20,00%",1.11,0.22,0.20,1.00,22.6
27,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
28,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
29,0,0,0,0,0,0,1,0,"0,00%",0.42,0.00,0.00,0,12.3
30,1,1,0,0,0,1,1,1,"100,00%",10.00,10.00,1.00,1.00,7.4
31,0,0,0,0,0,0,1,1,"100,00%",1.00,1.00,0.00,0.00,11.9
32,1,1,0,0,0,1,5,3,"60,00%",1.69,01.01,0.20,0.33,18.1
33,1,1,0,0,1,1,8,4,"50,00%",2.42,1.21,0.13,0.25,21.0
34,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
35,2,2,0,0,0,2,2,2,"100,00%",1.62,1.62,1.00,1.00,7.9
36,3,3,0,0,0,3,12,5,"41,67%",3.33,1.39,0.25,0.60,18.8
37,0,0,0,0,0,0,1,1,"100,00%",0.70,0.70,0.00,0.00,7.4
38,2,2,0,0,1,2,14,7,"50,00%",04.09,02.05,0.14,0.29,21.4
39,2,2,0,0,0,2,15,8,"53,33%",3.35,1.79,0.13,0.25,11.7
40,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
41,1,1,0,0,0,1,6,1,"16,67%",0.87,0.15,0.17,1.00,15.1
42,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
43,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
44,0,0,0,0,0,0,1,0,"0,00%",02.05,0.00,0.00,0,10.4
45,0,0,0,0,0,0,2,0,"0,00%",0.28,0.00,0.00,0,22.6
46,0,0,0,0,0,0,1,0,"0,00%",0.30,0.00,0.00,0,22.5
47,0,0,0,0,0,0,2,1,"50,00%",1.65,0.83,0.00,0.00,33.1
48,0,0,0,0,0,0,6,1,"16,67%",1.60,0.27,0.00,0.00,19.1
49,0,0,0,0,0,0,1,0,"0,00%",0.53,0.00,0.00,0,30.7
50,1,1,0,0,0,1,3,1,"33,33%",0.55,0.18,0.33,1.00,8.4
51,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
52,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
53,0,0,0,0,0,0,3,1,"33,33%",2.76,0.92,0.00,0.00,14.7
54,3,3,0,0,0,3,20,5,"25,00%",1.82,0.45,0.15,0.60,22.4
55,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
56,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
57,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
58,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
59,0,0,0,0,0,0,4,2,"50,00%",2.69,1.34,0.00,0.00,22.6
60,0,0,0,0,0,0,4,1,"25,00%",0.37,0.09,0.00,0.00,15.2
61,0,0,0,0,0,0,2,0,"0,00%",0.40,0.00,0.00,0,8.1
62,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
63,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
64,0,0,0,0,0,0,1,1,"100,00%",0.50,0.50,0.00,0.00,19.8
65,4,4,0,0,0,4,11,4,"36,36%",1.57,0.57,0.36,1.00,14.6
66,1,1,0,0,0,1,7,3,"42,86%",01.08,0.46,0.14,0.33,23.6
67,1,1,0,0,0,1,5,1,"20,00%",0.89,0.18,0.20,1.00,20.8
68,4,4,0,0,0,4,35,18,"51,43%",4.23,2.18,0.11,0.22,14.7
69,2,2,0,0,0,2,13,3,"23,08%",2.53,0.58,0.15,0.67,24.2
70,2,1,1,1,0,2,9,4,"44,44%",1.56,0.69,0.11,0.25,21.8
71,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
72,0,0,0,0,0,0,2,0,"0,00%",0.66,0.00,0.00,0,7.3
73,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
74,0,0,0,0,0,0,2,0,"0,00%",0.37,0.00,0.00,0,19.7
75,0,0,0,0,0,0,3,1,"33,33%",1.48,0.49,0.00,0.00,26.1
76,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
77,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
78,0,0,0,0,0,0,3,0,"0,00%",0.66,0.00,0.00,0,18.0
79,0,0,0,0,1,0,3,1,"33,33%",6.92,2.31,0.00,0.00,20.7
80,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
81,0,0,0,0,0,0,1,1,"100,00%",0.17,0.17,0.00,0.00,9.4
82,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
83,1,1,0,0,0,1,2,1,"50,00%",0.41,0.20,0.50,1.00,16.3
84,0,0,0,0,0,0,1,0,"0,00%",2.31,0.00,0.00,0,22.2
85,0,0,0,0,0,0,6,2,"33,33%",2.37,0.79,0.00,0.00,16.4
86,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
87,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
88,1,1,0,0,1,1,12,3,"25,00%",2.27,0.57,0.08,0.33,19.0
89,0,0,0,0,0,0,3,0,"0,00%",1.00,0.00,0.00,0,18.1
90,0,0,0,0,0,0,0,0,"0,00%",0.00,0.00,0,0,0
91,0,0,0,0,0,0,1,0,"0,00%",0.78,0.00,0.00,0,12.0
92,0,0,0,0,1,0,4,0,"0,00%",0.66,0.00,0.00,0,24.6
93,0,0,0,0,0,0,3,0,"0,00%",0.74,0.00,0.00,0,23.2
94,0,0,0,0,0,0,8,1,"12,50%",1.38,0.17,0.00,0.00,20.8
